"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"CNR INTERNATIONAL (U.K.) LIMITED","C/O Pinsent Masons Llp, 1 Park Row, Leeds, United Kingdom, LS1 5AB","00813187","6100,
6200","40.0","46.0","64.0","60.0","94.0","95.0","24.0","76.0","79.0","21.0","90.0","10.0","93.0","7.0","http://www.cnrinternational.co.uk/","Alison Critten (Manager, Human Resources)","250 to 499","CNR INTERNATIONAL (U.K.) LIMITED","False","06/10/2021 00:00:00","12/03/2021 13:20:18"
"COCA-COLA EUROPEAN PARTNERS GREAT BRITAIN LIMITED","Pemberton House, Bakers Road, Uxbridge, England, UB8 1EZ","00027173","11070","0.0","4.4","10.0","	-4.0","94.3","93.9","60.0","40.0","74.5","25.5","75.1","24.9","65.7","34.3","https://urldefense.com/v3/__https:/www.cocacolaep.com/gb/company/supplier-information-2/__;!!JnGxnq7w!zsvmbRDrZfeMXJWv9PggoZKMSmu-VhMh--yxkT6ggDtFaXAWSeiKmMpjdBq3$","Stephen Moorhouse (General Manager Great Britain Business Unit)","1000 to 4999","COCA-COLA EUROPEAN PARTNERS GREAT BRITAIN LIMITED","False","06/10/2021 00:00:00","04/03/2021 09:57:12"
"Colchester Institute","Sheepen Road, Colchester, Essex, United Kingdom, CO3 3LL","","1,
85320","8.7","25.5","","","0.0","0.0","19.0","81.0","35.0","65.0","57.0","43.0","57.0","43.0","https://www.colchester.ac.uk/wp-content/uploads/2020/03/Colchester-Institute-Gender-Pay-Gap-Report-2020.pdf","","500 to 999","Colchester Institute","False","06/10/2021 00:00:00","12/02/2021 14:51:20"
"COLCHESTER UNITED FOOTBALL CLUB LIMITED","Jobserve Community Stadium United Way, Mile End, Colchester, Essex, United Kingdom, CO4 5UP, CO5 0LX","02705301","93110,
93199","33.0","21.0","65.0","60.0","36.0","39.0","89.0","11.0","82.0","18.0","92.0","8.0","97.0","3.0","","Holly Berry (HR Manager)","250 to 499","COLCHESTER UNITED FOOTBALL CLUB LIMITED","False","06/10/2021 00:00:00","15/02/2021 15:43:20"
"COLLIERS INTERNATIONAL PROPERTY CONSULTANTS LIMITED","50 George Street, London, W1U 7GA","07996509","68310","37.5","41.1","78.5","70","77.5","72.2","37","63","57","43","73","27","90","10","https://www2.colliers.com/en-gb/research/gender-pay-report-2019-2020","Tony Horrell (CEO UK & Ireland)","500 to 999","COLLIERS INTERNATIONAL PROPERTY CONSULTANTS LIMITED","False","06/10/2021 00:00:00","11/01/2021 16:52:13"
"COMMUNITY ACADEMIES TRUST","The Polesworth School, Dordon Road, Tamworth, Staffordshire, B78 1QT","07472736","85200,
85310","26.0","41.8","","","0.0","0.0","8.0","92.0","14.0","86.0","20.0","80.0","29.0","71.0","https://www.communityacademiestrust.org/","","1000 to 4999","COMMUNITY ACADEMIES TRUST","False","06/10/2021 00:00:00","10/03/2021 13:10:13"
"Companies House","Crown  Way, Maindy, Cardiff, CF14 3UZ","","1,
84110","13.6","20.4","19.7","18.8","84.5","85.4","30.2","69.8","37.2","62.8","49.2","50.8","60.9","39.1","https://www.gov.uk/government/publications/companies-house-gender-pay-gap-report-and-data-2020","","1000 to 4999","Companies House","False","06/10/2021 00:00:00","15/12/2020 14:53:01"
"Competition and Markets Authority","Victoria House, Southampton Row, London, WC1B 4AD","","1,
84110","5.6","2.9","29.3","	-2.5","68.7","72.1","50.2","49.8","45.1","54.9","51.2","48.8","55.9","44.1","https://www.gov.uk/government/publications/gender-pay-gap-report-2019-to-2020","","500 to 999","Competition and Markets Authority","False","06/10/2021 00:00:00","15/12/2020 14:50:33"
"COMPTON CARE GROUP LIMITED","Compton Hall, Compton Road West, Wolverhampton, West Midlands, WV3 9DH","01607631","85590,
87100,
88990","	-6.7","	-30.4","","","0.0","0.0","19.2","80.8","7.6","92.4","16.5","83.5","9.0","91.0","","Russell Bulkeley (Head of Finance & Accounting)","250 to 499","COMPTON CARE GROUP LIMITED","False","06/10/2021 00:00:00","11/03/2021 08:21:44"
"CONNECT ACADEMY TRUST","Leigham Primary School Cockington Close, Leigham, Plymouth, United Kingdom, PL6 8RF","10192252","85200","26.3","24.5","","","0.0","0.0","18.5","81.5","9.9","90.1","5.4","94.6","4.6","95.4","https://connect-academy-trust.secure-primarysite.net/financial-information/","","250 to 499","CONNECT ACADEMY TRUST","False","06/10/2021 00:00:00","12/03/2021 10:00:32"
"CONNECT HEALTH LIMITED","The Light Box Quorum Business Park, Benton Lane, Newcastle Upon Tyne, NE12 8EU","02337692","86900","16.8","14.8","34.7","31","26.1","25.6","26.5","73.5","50.6","49.4","50.6","49.4","51.5","48.5","","Lisa Davidson (Chief People Officer)","500 to 999","CONNECT HEALTH LIMITED","False","06/10/2021 00:00:00","05/03/2021 14:15:54"
"Conservative Campaign Headquarters","No 4, Matthew Parker Street, London, SW1H 9HQ","","94920","6.9","1.6","59.6","55.4","1.1","1.0","66.7","33.3","63.2","36.8","57.4","42.6","70.6","29.4","https://www.conservatives.com","Alan Mabbutt (Registered Treasurer and Acting Director of Party Organisation)","250 to 499","Conservative Campaign Headquarters","False","06/10/2021 00:00:00","23/02/2021 09:16:33"
"CONTINENTAL LANDSCAPES LIMITED","Wychwood House, 4 Landscape, Close, Weston On The Green, Bicester, Oxon, OX25 3SX","02416889","81300","	-1.8","	-18.3","25.9","	-95.7","46.7","39.5","96.0","4.0","99.0","1.0","95.4","4.6","90.4","9.6","","James Simpson (Finance Director)","500 to 999","CONTINENTAL LANDSCAPES LIMITED","False","06/10/2021 00:00:00","14/01/2021 18:11:52"
"CONTRACT SOLUTIONS (GRAMPIAN) LTD","5-9 Bon Accord Crescent, Aberdeen, Scotland, AB11 6DN","SC368758","82990","1.6","0.0","","","0.0","0.0","20.0","80.0","36.0","64.0","14.0","86.0","33.3","66.7","","Laura Sutherland (Director)","250 to 499","CONTRACT SOLUTIONS (GRAMPIAN) LTD","False","06/10/2021 00:00:00","09/03/2021 18:42:21"
"COOPLAND & SON (SCARBOROUGH) LIMITED","Caxton Way, Pindar Business Park, Eastfield,Scarborough, North Yorkshire, YO11 3YT","00465947","10710,
47240","16.4","13.8","45.4","79.7","12.3","27.5","14.1","85.9","0.7","99.3","22.7","77.3","40.4","59.6","https://cooplands-bakery.co.uk/legal/gender-pay-gap-report-2020 Let me know if anything needs changing.","jonathan stockill (FD)","1000 to 4999","COOPLAND & SON (SCARBOROUGH) LIMITED","False","06/10/2021 00:00:00","17/02/2021 11:40:39"
"Coppice Primary Partnership","Loose Primary School, Loose Road, MAIDSTONE, Kent, ME15 9UW","","","29.3","52.5","","","0.0","0.0","2.5","97.5","3.8","96.2","10.0","90.0","12.5","87.5","https://www.coppiceprimarypartnership.kent.sch.uk/attachments/download.asp?file=1216&type=pdf","","250 to 499","Coppice Primary Partnership","False","06/10/2021 00:00:00","09/03/2021 16:36:45"
"Corby Borough Council","The Cube, Parkland Gateway, Corby, Northamptonshire, United Kingdom, NN17 1QG","","1,
84110","10.8","20.0","","","0.0","0.0","44.0","56.0","22.0","78.0","46.0","54.0","50.0","50.0","","","500 to 999","Corby Borough Council","False","06/10/2021 00:00:00","23/02/2021 15:01:21"
"CORIALIS GROUP LIMITED","C/O Smart Systems Arnolds Way, Yatton, Bristol, England, BS49 4QN","10491647","64209","12.10","0.70","74.50","100.00","83.30","30.60","93.50","6.50","91.70","8.30","95.40","4.60","86.00","14.00","http://www.smartsystems.co.uk","Mark West (Director)","250 to 499","CORIALIS GROUP LIMITED","False","06/10/2021 00:00:00","28/07/2020 14:29:24"
"CORY ENVIRONMENTAL HOLDINGS LIMITED","Level 5, 10 Dominion Street, London, England, EC2M 2EF","05360864","70100","	-9","15.8","	-41","	-53.8","7","17","86","14","91","9","97","3","86","14","https://www.coryenergy.com/wp-content/uploads/2020/11/Gender-Pay-Gap-Report.pdf","Toby Warren (Director of HR)","250 to 499","CORY ENVIRONMENTAL HOLDINGS LIMITED","False","06/10/2021 00:00:00","26/11/2020 09:51:56"
"Countess of Chester Hospital NHS FT","Countess of Chester Hospital NHS FT, Countess Health Park, Liverpool Road, CH2 1UL","","1,
86101","28.0","13.0","20.0","17.0","5.0","0.0","15.0","85.0","19.0","81.0","16.0","84.0","30.0","70.0","https://www.coch.nhs.uk/corporate-information/equality,-diversity-and-human-rights.aspx","","5000 to 19,999","Countess of Chester Hospital NHS FT","False","06/10/2021 00:00:00","29/01/2021 15:48:13"
"COVÉA INSURANCE SERVICES LIMITED","2 Norman Place, Reading, England, RG1 8DA","02966506","66290,
70100","29.1","32.3","69.7","0.0","24.6","30.0","31.2","68.8","32.8","67.2","47.0","53.0","67.6","32.4","https://www.coveainsurance.co.uk/media/3225/gender-pay-gap-report-2020.pdf","James Reader (CEO)","1000 to 4999","COVÉA INSURANCE SERVICES LIMITED","False","06/10/2021 00:00:00","23/02/2021 13:23:05"
"Coventry Building Society","Economic House, PO Box 9, High Street, Coventry, CV1 5QN","MUT0148B","","30.8","33.3","42.6","38.3","95.0","97.0","23.0","77.0","28.0","72.0","45.0","55.0","65.0","35.0","https://www.coventrybuildingsociety.co.uk/content/dam/cbs/consumer/pdf/our-performance/corporate-governance/2020/CBS_gender_pay_gap_report_2020.pdf","Steve Hughes (Chief Executive Officer and Executive Director)","1000 to 4999","Coventry Building Society","False","06/10/2021 00:00:00","29/12/2020 09:59:38"
"Coventry University Students Union","The Hub, Jordan Well, Coventry, CV1 5QT","","94120","8.2","8.4","","","0.0","0.0","35.3","64.7","27.8","72.2","47.1","52.9","44.4","55.6","","John Abell (CEO)","Not Provided","Coventry University Students Union","False","06/10/2021 00:00:00","09/11/2020 15:50:35"
"CRISIS UK","66 Commercial Street, London, E1 6LT","04024938","88990","	-1.0","	-11.0","","","0.0","0.0","44.0","56.0","37.0","63.0","29.0","71.0","31.0","69.0","","Sarah Farquhar (Director of Organisational Development)","500 to 999","CRISIS UK","False","06/10/2021 00:00:00","05/03/2021 10:12:13"
"CSM (UNITED KINGDOM) LIMITED","Stadium Road, Bromborough, Wirral, CH62 3NU","01478292","10890","19.4","22.9","72.8","93.0","19.3","27.5","40.0","60.0","63.0","37.0","71.0","29.0","75.2","24.8","","Richard Collinge (UK HR Director)","1000 to 4999","CSM (UNITED KINGDOM) LIMITED","False","06/10/2021 00:00:00","09/03/2021 12:42:05"
"CUBIC TRANSPORTATION SYSTEMS LIMITED","Afc House, Honeycrock Lane, Salfords Redhill, Surrey, RH1 5LA","01381707","27900,
52219,
71129","2.0","0.8","	-2.2","16.7","49.0","55.1","83.9","16.1","86.7","13.3","85.9","14.1","86.2","13.8","https://www.cubic.com/sites/default/files/2020%20%20Gender%20Pay%20Gap%20Report_final.pdf","Kathy Doherty (HR Director)","1000 to 4999","CUBIC TRANSPORTATION SYSTEMS LIMITED","False","06/10/2021 00:00:00","26/02/2021 11:17:13"
"CYNERGY BANK LIMITED","27-31 Charlotte Street, London, W1T 1RP","04728421","64191","37.0","32.9","55.8","49.3","72.6","78.7","38.6","61.4","51.4","48.6","54.3","45.7","81.2","18.8","","Greg Jones (Chief Operating Officer)","250 to 499","CYNERGY BANK LIMITED","False","06/10/2021 00:00:00","09/02/2021 09:41:26"
"DAIWA CAPITAL MARKETS EUROPE LIMITED","5 King William Street, London, EC4N 7AX","01487359","64999","40.3","36.3","62.5","50.4","84.4","78.0","33.0","67.0","62.5","37.5","73.9","26.1","85.1","14.9","https://www.uk.daiwacm.com/media/217345/dcme-gender-pay-gap-1920.pdf","Keith Meekins (Chief Executive Officer)","250 to 499","DAIWA CAPITAL MARKETS EUROPE LIMITED","False","06/10/2021 00:00:00","05/03/2021 09:34:10"
"Danes Educational Trust","St Clement Danes School, Chenies Road, Chorleywood, Hertfordshire, Wd3 6EW","","","11.2","12.6","	-111.7","	-101.3","1.2","2.0","21.0","79.0","27.0","73.0","27.0","73.0","37.0","63.0","https://det.s3.amazonaws.com/uploads/document/Gender-Pay-Gap-Report-2020.pdf?t=1614673096","","500 to 999","Danes Educational Trust","False","06/10/2021 00:00:00","11/03/2021 15:38:09"
"DANIEL J. EDELMAN LIMITED","Southside 105 Victoria Street, London, SW1E 6QT","00924113","74909","18.3","19.5","31.5","36.3","68.9","72.0","38.7","61.3","28.8","71.2","30.6","69.4","50.4","49.6","https://www.edelman.co.uk/gender-pay-gap-report","Justin Westcott (Chief Operating Officer, UK & Ireland)","250 to 499","DANIEL J. EDELMAN LIMITED","False","06/10/2021 00:00:00","13/08/2020 11:53:34"
"DARWIN TECHNOLOGIES HOLDINGS LIMITED","Gordon House, 10 Greencoat Place, London, United Kingdom, SW1P 1PH","04085334","62090,
70100","23.5","22.0","70.6","41.1","100.0","99.0","49.4","50.6","40.5","59.5","64.6","35.4","72.5","27.5","https://www.darwin.com/darwin-gender-pay-gap-report/","Stephen Read (CEO)","250 to 499","DARWIN TECHNOLOGIES HOLDINGS LIMITED","False","06/10/2021 00:00:00","19/02/2021 14:24:30"
"DAVID WOOD BAKING LIMITED","1 Calverley Road, Oulton, Leeds, West Yorkshire, LS26 8JD","06541251","10130,
10710,
10850","8.7","2.1","","","0.0","0.0","63.0","37.0","73.0","27.0","77.0","23.0","74.0","26.0","https://www.davidwoodfoods.com","KAREN WOOD (DIRECTOR)","1000 to 4999","DAVID WOOD BAKING LIMITED","False","06/10/2021 00:00:00","11/02/2021 11:38:10"
"DE LA RUE INTERNATIONAL LIMITED.","De La Rue House, Jays Close, Basingstoke, Hampshire, RG22 4BS","00720284","18129,
96090","9.3","12.8","17.0","	-20.7","85.0","71.0","63.6","36.4","69.6","30.4","74.6","25.4","76.7","23.3","https://f.hubspotusercontent20.net/hubfs/2752422/Gender%20diversity%20and%20Gender%20Pay%20Gap%202020%20for%20website.pdf","Clive Vacher (Chief Executive Officer)","1000 to 4999","DE LA RUE INTERNATIONAL LIMITED.","False","06/10/2021 00:00:00","21/01/2021 14:40:44"
"DE MONTFORT EXPERTISE LIMITED","De Montfort University, Trinity House The Gateway, Leicester, LE1 9BH","02360101","70229,
85421,
85422,
85600","2.7","0.0","","","0.0","0.0","38.0","62.0","33.0","67.0","39.0","61.0","33.0","67.0","","Charlotte Borrows (Unitemps Branch Manager)","1000 to 4999","DE MONTFORT EXPERTISE LIMITED","False","06/10/2021 00:00:00","26/02/2021 09:40:33"
"DEE SET LOGISTICS LIMITED","Collins House, Rutland Square, Edinburgh, Midlothian, EH1 2AA","SC208421","82990","26.2","6.7","100.0","100.0","0.3","0.0","11.0","89.0","6.0","94.0","11.0","89.0","31.0","69.0","https://www.deeset.co.uk/gender-pay-gap-report","Greg Phillips (Chief Executive Officer)","1000 to 4999","DEE SET LOGISTICS LIMITED","False","06/10/2021 00:00:00","04/03/2021 17:18:04"
"Department for Business, Energy & Industrial Strategy","1 Victoria Street, London, London, United Kingdom, SW1H 0ET","","1,
84110","10.2","10.7","12.9","15.8","87.5","86.2","39.0","61.0","53.0","47.0","59.0","41.0","60.0","40.0","https://www.gov.uk/government/publications/beis-gender-pay-gap-report-and-data-2020","","5000 to 19,999","Department for Business, Energy & Industrial Strategy","False","06/10/2021 00:00:00","15/12/2020 14:23:43"
"Department for Digital, Culture, Media and Sport","100 Parliament Street, London, London, SW1A 2BQ","","1,
84110","2.7","10.6","0.2","	-14.3","56","58.3","41.4","58.6","48","52","51.1","48.9","47.4","52.6","https://www.gov.uk/government/publications/dcms-gender-pay-gap-201920","","1000 to 4999","Department for Digital, Culture, Media and Sport","False","06/10/2021 00:00:00","16/12/2020 09:52:49"
"Department for Education","Great Smith Street, London, London, United Kingdom, SW1P 3BT","","1,
84110","3.9","7.9","1.6","0.0","85.6","85.9","40.0","60.0","41.0","59.0","43.0","57.0","45.0","55.0","https://www.gov.uk/government/publications/department-for-education-gender-pay-gap-2020","","5000 to 19,999","Department for Education","False","06/10/2021 00:00:00","15/12/2020 14:36:47"
"Department for International Development","22 Whitehall, London, London, United Kingdom, SW1A 2EG","","1,
84110","5.9","5.6","4.0","0.0","69.9","68.3","39.1","60.9","41.5","58.5","44.7","55.3","49.3","50.7","https://www.gov.uk/government/publications/dfid-gender-pay-gap-report-2020","","1000 to 4999","Department for International Development","False","06/10/2021 00:00:00","15/12/2020 14:59:32"
"Department for International Trade","3 Whitehall Pl, Westminster, London, London, United Kingdom, SW1A 2AH","","1,
84110","6.5","15.9","7.3","0.0","55.0","59.0","49.0","51.0","54.0","46.0","56.0","44.0","59.0","41.0","","","1000 to 4999","Department for International Trade","False","06/10/2021 00:00:00","15/12/2020 17:32:53"
"Department For Transport","Great Minster House, 76 Marsham Street, London, London, United Kingdom, SW1P 4DR","","1,
84110","15.2","13","	-3","	-7.1","83.6","86.1","33.8","66.2","55.4","44.6","64.9","35.1","65.1","34.9","https://www.gov.uk/government/publications/dft-gender-pay-gap-report-and-data-2020","","5000 to 19,999","Department For Transport","False","06/10/2021 00:00:00","15/12/2020 14:03:33"
"Department for Work And Pensions","Caxton House, 6-12 Tothill Street, London, London, United Kingdom, SW1H 9NA","","1,
84110","5.4","0.0","15.3","9.1","92.0","93.0","28.8","71.2","28.5","71.5","37.9","62.1","37.7","62.3","https://www.gov.uk/government/publications/dwp-gender-pay-gap-report-and-data-2020","","20,000 or more","Department for Work And Pensions","False","06/10/2021 00:00:00","15/12/2020 14:28:08"
"Department of Health and Social Care","Richmond House, 79 Whitehall, London, London, United Kingdom, SW1A 2NS","","1,
84110","11.2","11.5","19.7","30.0","26.9","25.0","29.1","70.9","31.0","69.0","39.1","60.9","43.1","56.9","https://www.gov.uk/government/publications/dhsc-gender-pay-gap-report-and-data-2020","","1000 to 4999","Department of Health and Social Care","False","06/10/2021 00:00:00","15/12/2020 15:15:27"
"Department, for Environment, Food and Rural Affairs","Nobel House, 17 Smith aquare, London, Sw1P 3JR","","1,
84110","7.2","7.4","12.0","20.0","57.0","58.0","37.6","62.4","43.4","56.6","44.7","55.3","50.8","49.2","https://www.gov.uk/government/publications/defra-gender-pay-gap-report-and-data-2020","","5000 to 19,999","Department, for Environment, Food and Rural Affairs","False","06/10/2021 00:00:00","15/12/2020 14:22:24"
"DEPAUL UK","34 Decima Street, London, England, SE1 4QQ","02440093","87900,
88990","1.80","	-0.80","","","0.00","0.00","36.80","63.20","23.50","76.50","29.40","70.60","26.50","73.50","https://uk.depaulcharity.org/depaul-uk-gender-pay-gap","Kate Summers (Executive Director of People and Organisational Development)","250 to 499","DEPAUL UK","False","06/10/2021 00:00:00","29/07/2020 10:18:40"
"DERWEN COLLEGE","Derwen College Whittington Road, Gobowen, Oswestry, Shropshire, SY11 3JA","08615826","85590","5.4","1.8","","","0.0","0.0","18.0","82.0","16.0","84.0","18.0","82.0","24.0","76.0","http://www.derwen.ac.uk","","250 to 499","DERWEN COLLEGE","False","06/10/2021 00:00:00","29/01/2021 12:46:16"
"DEVELOPMENT INITIATIVES POVERTY RESEARCH LIMITED","1st Floor Centre, Quorum, Bond Street South, Bristol, England, BS1 3AE","06368740","82990","	-7.4","	-14.6","","","0.0","0.0","40.0","60.0","50.0","50.0","13.3","86.7","42.9","57.1","","Janet Reilly (Director of Business & Finance)","Less than 250","DEVELOPMENT INITIATIVES POVERTY RESEARCH LIMITED","False","06/10/2021 00:00:00","07/10/2020 13:38:49"
"Devon & Somerset Fire & Rescue Service","Devon & Somerset Fire & Rescue Service, Clyst St George, Exeter, Devon, EX3 0NW","","1,
84250","8.3","9.9","","","0.0","0.0","70.6","29.4","91.0","9.0","91.4","8.6","88.6","11.4","http://www.dsfire.gov.uk/AboutUs/EqualityandDiversity/EqualityInformation/documents/Gender%20Pay%20Gap%20report%202020.pdf","","1000 to 4999","Devon & Somerset Fire & Rescue Service","False","06/10/2021 00:00:00","15/12/2020 12:10:16"
"DEVON NORSE LIMITED","280 Fifers Lane, Norwich, Norfolk, United Kingdom, NR6 6EQ","07553812","96090","4.5","4.4","52.1","21.2","1.0","0.4","26.2","73.8","25.5","74.5","27.2","72.8","39.6","60.4","https://norsegroup.co.uk/wp-content/uploads/2021/03/NG-Gender-Pay-Gap-Report-08.03.21-6045f54eceba6.pdf","Katie Marrison (Group HR Director)","1000 to 4999","DEVON NORSE LIMITED","False","06/10/2021 00:00:00","10/03/2021 11:07:36"
"Devon Partnership Nhs Trust","Dryden Road, Exeter, Devon, United Kingdom, EX2 5AF","","1,
86210","14.0","7.4","20.7","34.5","63.0","37.0","23.5","76.5","24.0","76.0","25.5","74.5","35.7","64.3","https://www.dpt.nhs.uk/resources/corporate-information/equality-diversity-and-inclusion/gender-pay-gap-reports","","1000 to 4999","Devon Partnership Nhs Trust","False","06/10/2021 00:00:00","07/10/2020 08:51:08"
"DHAMECHA FOODS LIMITED","2 Hathaway Close, Stanmore, Middlesex, HA7 3NR","01163739","46342,
46390","1.00","	-2.00","48.00","43.00","7.00","6.00","76.00","24.00","70.00","30.00","82.00","18.00","84.00","16.00","http://www.dhamecha.com/","Fayaaz Shariff (Finance Director)","500 to 999","DHAMECHA FOODS LIMITED","False","06/10/2021 00:00:00","19/06/2020 13:58:55"
"DIAGEO GREAT BRITAIN LIMITED","Lakeside Drive, Park Royal, London, London, NW10 7HQ","00507652","11010,
11070,
46342,
70100","	-5.2","	-20.5","26.0","	-24.5","80.1","84.6","65.0","35.0","57.0","43.0","45.0","55.0","52.0","48.0","https://www.diageo.com/PR1346/aws/media/12171/diageo-gender-pay-gap-report-2020.pdf","Mairéad Nayager (Chief HR Officer)","1000 to 4999","DIAGEO GREAT BRITAIN LIMITED","False","06/10/2021 00:00:00","15/12/2020 12:12:07"
"DIAGEO SCOTLAND LIMITED","Edinburgh Park, 5 Lochside Way, Edinburgh, EH12 9DT","SC000750","11010","8.5","16.8","12.1","20.6","44.4","68.7","57.0","43.0","65.0","35.0","73.0","27.0","78.0","22.0","https://www.diageo.com/PR1346/aws/media/12171/diageo-gender-pay-gap-report-2020.pdf","Mairéad Nayager (Chief HR Officer)","1000 to 4999","DIAGEO SCOTLAND LIMITED","False","06/10/2021 00:00:00","15/12/2020 12:12:42"
"DIEBOLD NIXDORF (UK) LIMITED","One, The Boulevard, Cain Road, Bracknell, Berkshire, RG12 1WP","03841833","27900,
62090","	-2.3","	-8.9","	-40.0","	-668.6","78.3","21.7","69.1","30.9","92.9","7.1","75.6","24.4","76.3","23.7","https://www.dieboldnixdorf.com/en-us/-/media/diebold/files/about-us/corporate-responsibility/diebold-nixdorf-gender-pay-gap-report-2020-2021","Paul Underhill (HR Support & Reward Manager)","500 to 999","DIEBOLD NIXDORF (UK) LIMITED","False","06/10/2021 00:00:00","08/02/2021 09:20:48"
"DISCOVERY EDUCATIONAL TRUST","St Martin's School Brentwood Hanging Hill Lane, Hutton, Brentwood, Essex, CM13 2HG","07638800","85310","21.1","28.6","","","0.0","0.0","19.4","80.6","24.2","75.8","33.3","66.7","40.4","59.6","https://www.discoveryeducationaltrust.co.uk/_site/data/files/det%20policies/528D447ED0F3506F4C2A35EC4FF3CED9.pdf","","250 to 499","DISCOVERY EDUCATIONAL TRUST","False","06/10/2021 00:00:00","22/02/2021 14:18:07"
"DON & LOW LIMITED","Newfordpark House, Glamis Road, Forfar, Angus, DD8 1FR","SC005657","13960","13.0","11.0","	-12.0","	-9.0","1.8","1.0","52.6","47.4","92.9","7.1","79.0","21.0","83.9","16.1","https://www.donlow.co.uk/gb/en/gender-pay-gap-information/","Vassilis Zairopoulos (Chairman)","250 to 499","DON & LOW LIMITED","False","06/10/2021 00:00:00","22/12/2020 11:35:23"
"DONALD WARD LIMITED","Rawdon Works, Moira Road, Woodville, Nr Burton-On-Trent, DE11 8DG","01292288","38110,
38210,
38320,
39000","12.7","1.7","	-19.0","	-91.2","40.0","24.0","83.3","16.7","70.8","29.2","81.4","18.6","72.7","27.3","","James Balfour (Finance Director)","250 to 499","DONALD WARD LIMITED","False","06/10/2021 00:00:00","24/02/2021 10:20:04"
"Dorset & Wiltshire Fire & Rescue Service","Five Rivers Health & Wellbeing Centre, Hulse Road, Salisbury, SP1 3NR","","1,
84250","8.6","11.8","","","0.0","0.0","58.9","41.1","86.0","14.0","90.3","9.7","84.7","15.3","https://www.dwfire.org.uk/wp-content/uploads/2021/03/21-13-Gender-Pay-Gap-report-2020-App-A.pdf","","1000 to 4999","Dorset & Wiltshire Fire & Rescue Service","False","06/10/2021 00:00:00","08/03/2021 08:51:59"
"DRAPERS' MULTI-ACADEMY TRUST","C/O Landau Baker Ltd. Mountcliff House, 154 Brent Street, London, United Kingdom, NW4 2DR","07035556","85200,
85310","25","46.5","","","0","0","10","90","15","85","22","78","37","63","","","250 to 499","DRAPERS' MULTI-ACADEMY TRUST","False","06/10/2021 00:00:00","08/03/2021 13:43:55"
"DSM NUTRITIONAL PRODUCTS (UK) LIMITED","Delves Road, Heanor Gate, Heanor, Derbyshire, DE75 7SG","04031360","20590","	-3.1","3.5","7.8","14.6","42.5","57.6","69.6","30.4","87.5","12.5","83.2","16.8","77.9","22.1","","Colin Bratt (Company Secretary)","250 to 499","DSM NUTRITIONAL PRODUCTS (UK) LIMITED","False","06/10/2021 00:00:00","24/02/2021 14:16:15"
"DUNLOP AIRCRAFT TYRES LIMITED","40 Fort Parkway, Birmingham, B24 9HL","03226333","22110","	-15.0","	-11.0","97.2","100.0","77.0","11.0","95.4","4.6","97.2","2.8","91.7","8.3","89.9","10.1","","Gordon Roper (Chief Executive Officer)","250 to 499","DUNLOP AIRCRAFT TYRES LIMITED","False","06/10/2021 00:00:00","11/03/2021 09:17:14"
"DUNNHUMBY LIMITED","184 Shepherds Bush Road, London, England, W6 7NL","02388853","70229","22.7","19.7","25.0","27.0","79.8","81.7","38.1","61.9","50.0","50.0","61.3","38.7","68.9","31.1","https://www.tescoplc.com/genderpay","Guillaume Bacuvier (Chief Executive, Dunnhumby)","500 to 999","DUNNHUMBY LIMITED","False","06/10/2021 00:00:00","24/02/2021 11:31:53"
"Durham Constabulary","Police Headquarters, Aykley Heads, Durham, DH1 5TT","","1,
84240","13.5","28.6","","","0.0","0.0","36.0","64.0","48.0","52.0","52.0","48.0","71.0","29.0","","","1000 to 4999","Durham Constabulary","False","06/10/2021 00:00:00","11/03/2021 15:34:59"
"DWF LLP","1 Scott Place, 2 Hardman Street, Manchester, United Kingdom, M3 3AA","OC328794","","21.0","24.0","37.0","37.0","13.0","16.0","33.0","67.0","31.0","69.0","40.0","60.0","52.0","48.0","https://dwfgroup.com/en/news-and-insights/press-releases/2020/12/dwf-publishes-gender-and-ethnicity-pay-gap-report","Helen Hill (HR Director)","1000 to 4999","DWF LLP","False","06/10/2021 00:00:00","15/12/2020 16:35:22"
"DYNEX SEMICONDUCTOR LIMITED","Doddington Road, Lincoln, Lincolnshire, LN6 3LF","03824626","26110","28.7","27.3","57.0","32.0","1.4","1.0","57.1","42.9","44.2","55.8","82.9","17.1","88.2","11.8","","Su Bailey (HR Director)","250 to 499","DYNEX SEMICONDUCTOR LIMITED","False","06/10/2021 00:00:00","03/02/2021 08:14:25"
