"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"CATERHAM SCHOOL","14155","Caterham School, Harestone Valley Road, Caterham, Surrey, CR3 6YA","CR3 6YA","05410420","85100,
85200,
85310","4.5","15.3","19.6","0.0","8.0","6.4","49.3","50.7","25.4","74.6","45.1","54.9","50.0","50.0","https://www.caterhamschool.co.uk/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022-FINAL.pdf","Monisha Shah (Chair)","250 to 499","CATERHAM SCHOOL","False","2023/04/05 00:00:00","2022/12/17 17:59:21"
"CATHEDRAL LEASING LIMITED","18259","Building 300 Relay Point, Wilnecote, Tamworth, Staffs, England, B77 5PA","B77 5PA","01561572","82990","22.93","26.54","27.08","-42.77","92.16","94","8","92","2","98","65","35","60","40","http://cathedralhygiene.co.uk/_docu/genderpay.pdf","Kerrie Mason (Accountant)","250 to 499","CATHEDRAL LEASING LIMITED","False","2023/04/05 00:00:00","2022/11/16 10:33:18"
"CCL LABEL LIMITED","2991","Pioneer Way, Castleford, Yorkshire, WF10 5QU","WF10 5QU","04310986","18121","24.7","22.4","50.4","0","91.7","79.8","41.5","58.5","64.6","35.4","80","20","83.2","16.8","https://www.avery.co.uk/corporate-responsibility","Mark Beckram (Finance Director)","500 to 999","CCL LABEL LIMITED","False","2023/04/05 00:00:00","2023/01/23 13:12:12"
"CEDAR CARE HOMES LIMITED","3006","Mortimer House, Clifton Down Road, Bristol, England, BS8 4AE","BS8 4AE","03585946","87100","-12.6","-5.6","","","0","0","29.7","70.3","34.9","65.1","36.5","63.5","55","45","https://cedarcarehomes.co.uk/gender-pay-gap-2022/","Ganesh Gudka (Chief Finance Officer)","250 to 499","CEDAR CARE HOMES LIMITED","False","2023/04/05 00:00:00","2022/06/06 17:08:58"
"Celtic Cross Education","14860","Unit 15  Victoria Trading Estate, Victoria Business Park, Roche, St Austell, Cornwall, PL26 8LX","PL26 8LX","","1","-11.26","-10.3","","","0","0","7.6","92.4","3.8","96.2","15.19","84.81","21.52","78.48","","","250 to 499","Celtic Cross Education","False","2023/03/31 00:00:00","2023/01/27 14:32:52"
"CENNOX LIMITED","19396","Units 11 & 12, Admiralty Way, Camberley, Surrey, GU15 3DT","GU15 3DT","05148523","96090","19.8","0","80.4","65.7","6.4","5.9","72.7","27.3","87.9","12.1","93.9","6.1","77","23","https://www.cennox.com/uk/our-company/corporate-values","Richard Grimmer (Managing Director UK&I)","250 to 499","CENNOX LIMITED","False","2023/04/05 00:00:00","2023/01/26 16:00:32"
"Central & North West London N H S","3031","350 Euston Road, London, London, NW1 3AX","NW1 3AX","","1,
86210","8.20","6.77","40.29","50.00","44.83","55.17","29.96","70.04","22.11","77.89","32.15","67.85","23.94","76.06","","","5000 to 19,999","Central & North West London N H S","False","2023/03/31 00:00:00","2023/01/20 16:55:24"
"CENTRE FOR PROCESS INNOVATION LIMITED","3048","Wilton Centre, Wilton, Redcar, Cleveland, TS10 4RF","TS10 4RF","05002194","72110,
72190,
82990,
85320","12.8","10.4","17","0","40.7","48","53.6","46.4","59","41","58.3","41.7","73.4","26.6","https://www.uk-cpi.com/legal/gender-pay-gap","Frank Millar (CEO)","500 to 999","CENTRE FOR PROCESS INNOVATION LIMITED","False","2023/04/05 00:00:00","2022/10/24 08:55:39"
"CEPAC LIMITED","3058","Prince Albert House, 2 Kingsmill Terrace, London, NW8 6BN","NW8 6BN","03373762","17219","19","15.6","44","25.5","86.2","74.7","73.5","26.5","82.3","17.7","92.9","7.1","90.3","9.7","","Bev Williamson (Group HR Manager)","500 to 999","CEPAC LIMITED","False","2023/04/05 00:00:00","2022/10/20 09:32:41"
"Channel Four Television Corporation","16298","124 Horseferry Road, London, SW1P 2TX","SW1P 2TX","","1,
60200","19.5","22.4","36.9","17.3","33.8","33.6","31.2","68.8","36.2","63.8","50","50","51.1","48.9","https://assets-corporate.channel4.com/_flysystem/s3/2022-10/221005%20-%20Pay%20Report%202022%20-%20FINAL.pdf","","1000 to 4999","Channel Four Television Corporation","False","2023/03/31 00:00:00","2022/10/07 13:53:59"
"CHARLES PUGH (WINDSCREENS) LIMITED","19402","3rd Floor Central The Quorum,, Bond Street, Bristol, England, BS1 3AE","BS1 3AE","02098007","45200","5.9","5.6","55.4","64.2","91.1","92.1","89.2","10.8","75.7","24.3","93.2","6.8","90.4","9.6","https://www.pughs.co.uk/emploment-opportunities","Vicki Riddell (Finance Director)","250 to 499","CHARLES PUGH (WINDSCREENS) LIMITED","False","2023/04/05 00:00:00","2022/05/19 08:33:31"
"CHARLES WILSON ENGINEERS LIMITED","3119","Pendragon House, 65 London Road, St Albans, Hertfordshire, AL1 1LJ","AL1 1LJ","01393410","77320,
77390","10.6","-7.7","16.5","0","89","78","93.4","6.6","86.9","13.1","80.3","19.7","86.9","13.1","https://www.cwplant.co.uk/wp-content/uploads/2022/11/Charles-Wilson-Engineers-Ltd-gender-pay-gap-statement-April-2022.pdf","Matthew Gallagher (Commercial Director)","250 to 499","CHARLES WILSON ENGINEERS LIMITED","False","2023/04/05 00:00:00","2022/11/15 12:29:40"
"CHARLIES STORES LIMITED","3120","Unit 7 Buttington, Welshpool, Powys, Wales, SY21 8SS","SY21 8SS","01761459","47190","6.4","7.8","48.5","-100.0","11.4","4.9","51.9","48.1","29.4","70.6","52.0","48.0","61.4","38.6","https://www.charlies.co.uk/about-us","Rebecca Lloyd (Managing Director)","250 to 499","CHARLIES STORES LIMITED","False","2023/04/05 00:00:00","2022/12/12 12:18:49"
"Charnwood Borough Council","3122","Southfield, Loughborough, LE11 2TN","LE11 2TN","","1,
84110","14.2","14.1","","","0","0","30.5","69.5","35","65","40","60","56.5","43.5","http://www.charnwood.gov.uk","","250 to 499","Charnwood Borough Council","False","2023/03/31 00:00:00","2023/01/04 14:37:01"
"Chelmsford Star Co-Operative Society Ltd.","3144","220 Moulsham Street, Chelmsford, Essex, United Kingdom, CM2 OLS","CM2 OLS","IP000973","47110","8.4","0","48.9","20.2","59","74","43","57","28","72","23","77","47","53","https://www.chelmsfordstar.coop/wp-content/uploads/2022/12/2022-Gender-Pay-Report.pdf","Ellen Tredwin (Secretary)","500 to 999","Chelmsford Star Co-Operative Society Ltd.","False","2023/04/05 00:00:00","2023/01/04 15:48:57"
"CHELTENHAM & GLOUCESTER PLC","3149","Barnett Way, Gloucester, GL4 3RL","GL4 3RL","02299428","82990","16.8","20.7","-4.8","0","100","100","27.4","72.6","41.1","58.9","43.9","56.1","57.5","42.5","https://www.lloydsbankinggroup.com/assets/pdfs/who-we-are/responsible-business/downloads/lbg-gender-pay-gap-report-2022.pdf","Sharon Doherty (Chief People & Places Officer)","250 to 499","CHELTENHAM & GLOUCESTER PLC","False","2023/04/05 00:00:00","2022/12/21 14:20:51"
"Cheltenham College","14157","Bath Road, Cheltenham, Gloucestershire, United Kingdom, GL53 7LD","GL53 7LD","","85200","18.2","27.8","","","0","0","33.7","66.3","27.0","73.0","30.7","69.3","49.3","50.7","https://www.cheltenhamcollege.org/about-us/our-staff/vacancies/","Phillip Attwell (Bursar)","500 to 999","Cheltenham College","False","2023/04/05 00:00:00","2022/12/16 15:03:25"
"Cheshire College - South and West","14872","Ellesmere Port Campus, Off Sutton Way, Ellesmere Port, CH65 7BF","CH65 7BF","","1,
85310","13.4","18.6","","","0","0","24","76","32","68","41","59","46","54","","","500 to 999","Cheshire College - South and West","False","2023/03/31 00:00:00","2023/01/03 08:38:34"
"Cheshire West and Chester Council","3172","HQ, Nicholas Street, Chester, United Kingdom, CH1 2NP","CH1 2NP","","1,
84110","0.1","0.0","2.5","0.0","35.6","42.0","32.0","68.0","29.2","70.8","28.6","71.4","28.3","71.7","https://inside.cheshirewestandchester.gov.uk/find_out_more/datasets_and_statistics/opendata/gender_pay_gap_figures","","1000 to 4999","Cheshire West and Chester Council","False","2023/03/31 00:00:00","2023/01/16 16:12:49"
"Chetham's School of Music","15330","Long Millgate, Manchester, M3 1SB","M3 1SB","","85200,
85310,
85520,
91011,
91020,
91030","17","42","","","0","0","24","76","36","64","45","55","47","53","","Sarah Newman (Bursar)","250 to 499","Chetham's School of Music","False","2023/04/05 00:00:00","2023/01/17 08:12:25"
"CHILDREN'S HOSPICES ACROSS SCOTLAND","17156","Canal Court, 42 Craiglockhart Avenue, Edinburgh, EH14 1LT","EH14 1LT","SC136410","86220,
86900","17.4","8.1","","","0","0","12.5","87.5","13.9","86.1","5.6","94.4","23.6","76.4","https://chas-assets.s3.eu-west-1.amazonaws.com/sites/59dde5b10f7d33796f8cd11b/assets/63569a140f7d333240f4aaf1/Gender-Pay-Gap-Report-2022-Final.pdf","Peta Hay (Chair and Trustee)","250 to 499","CHILDREN'S HOSPICES ACROSS SCOTLAND","False","2023/04/05 00:00:00","2022/10/24 16:24:59"
"CHOICE HOTELS LIMITED","3210","Choice House 107 Dickson Road, Blackpool, Lancashire, FY1 2ET","FY1 2ET","01365211","55100","0.6","-2.1","-10.0","14.2","20.3","33.8","63","37","43.5","56.5","50","50","43.5","56.5","https://www.choicehotels.co.uk/gender-paygap","Sally Carpenito (Director)","250 to 499","CHOICE HOTELS LIMITED","False","2023/04/05 00:00:00","2022/08/01 14:48:44"
"CHRIS HAYTER TRANSPORT LIMITED","3214","Jervis House, Curbridge Business Park, Downs Road Witney, Oxon, OX29 7WJ","OX29 7WJ","01183217","49410,
52103","16.1","24","7.5","0","89","86","60","40","59","41","99","1","91","9","https://www.chrishayter.co.uk","Chris Hayter (Chairman)","250 to 499","CHRIS HAYTER TRANSPORT LIMITED","False","2023/04/05 00:00:00","2022/12/08 16:05:13"
"CHRISTIANS AGAINST POVERTY","3218","Jubilee House, 1 Filey Street, Bradford, England, BD1 5LQ","BD1 5LQ","04655175","74990","2.5","5.2","","","0","0","44.4","55.6","46.3","53.7","44.4","55.6","57.1","42.9","https://capuk.org/","Sarah Oxford (People Operations Team Manager)","250 to 499","CHRISTIANS AGAINST POVERTY","False","2023/04/05 00:00:00","2022/11/13 16:35:26"
"CHRISTIE MANSON & WOODS LIMITED","3220","8 King Street, St. James's, London, SW1Y 6QT","SW1Y 6QT","01128160","64209,
70100,
82990","37.3","26.3","74.9","42.1","92","91","27","73","31","69","36","64","52","48","https://www.christies.com/about-us/corporate-social-responsibility/equity-diversity-inclusion/?sc_lang=en#gender-pay-gap","Andrew McEachern (Global Head of Human Resources)","500 to 999","CHRISTIE MANSON & WOODS LIMITED","False","2023/04/05 00:00:00","2022/10/21 11:23:37"
"CHURCHILL KNIGHT UMBRELLA LIMITED","19745","Suite G Hollies House, 230 High Street, Potters Bar, England, EN6 5BL","EN6 5BL","10624123","82990","22","14","","","0","0","44.93","55.07","43.84","56.16","40.55","59.45","69.59","30.41","https://www.churchill-knight.co.uk/services/umbrella-company/gender-pay-report/","Sarah O'Toole (Director)","1000 to 4999","CHURCHILL KNIGHT UMBRELLA LIMITED","False","2023/04/05 00:00:00","2023/01/13 13:09:20"
"CIRCADIAN TRUST","3257","Bradley Stoke Leisure Centre, Bradley Stoke, Bristol, South Gloucestershire, BS32 9BS","BS32 9BS","05384234","93110,
93130,
93199","-18.5","-20.8","","","0","0","41","59","35","65","37","63","20","80","http://activecentres.org","Mark Crutchley (Chief Executive)","250 to 499","CIRCADIAN TRUST","False","2023/04/05 00:00:00","2022/12/15 16:45:36"
"CITY & ESSEX (LONDON) LTD","19901","Turnpike House, 1208-1210 London Road, Leigh-On-Sea, Essex, SS9 2UA","SS9 2UA","06654700","81210","-1.97","0","","","0","0","41.43","58.57","41.43","58.57","35.71","64.29","44.93","55.07","","Wendy Dove (PAYROLL & HR MANAGER)","250 to 499","CITY & ESSEX (LONDON) LTD","False","2023/04/05 00:00:00","2022/12/12 15:03:43"
"CITY & ESSEX LIMITED","16083","1210 London Road, Leigh On Sea, Essex, SS9 2UA","SS9 2UA","01586702","81210","7.21","0.36","","","0","0","32.98","67.02","42.55","57.45","42.55","57.45","45.26","54.74","","Wendy Dove (PAYROLL & HR MANAGER)","250 to 499","CITY & ESSEX LIMITED","False","2023/04/05 00:00:00","2022/12/12 15:08:48"
"City College Plymouth","3278","Kings Road, Devonport, Plymouth, Devon, United Kingdom, PL1 5QG","PL1 5QG","","1,
85320","8.07","16.76","","","0","0","25.0","75.0","31.1","68.9","45.4","54.6","42.4","57.6","","","500 to 999","City College Plymouth","False","2023/03/31 00:00:00","2022/12/07 13:36:21"
"City of Wolverhampton College","561","Wellington Road Campus, Wellington Road, Bilston, Wolverhampton, West Midlands, United Kingdom, WV14 6BT","WV14 6BT","","1,
85320","17.2","27.5","","","0","0","23","77","26","74","43.5","56.5","46.9","53.1","","","500 to 999","City of Wolverhampton College","False","2023/03/31 00:00:00","2022/12/15 09:32:18"
"Civil Aviation Authority","3310","Aviation House, Beehive Ring Road, Crawley, West Sussex, United Kingdom, RH6 0YR","RH6 0YR","","1,
84110","28.6","33.5","-1.91","0","82.2","88.5","31.2","68.8","48.6","51.4","68.4","31.6","75.4","24.6","https://publicapps.caa.co.uk/docs/33/CAA%20Pay%20Gap%20Report%20Nov%202022%20(CAP2487).pdf","","1000 to 4999","Civil Aviation Authority","False","2023/03/31 00:00:00","2022/12/09 16:26:45"
"CLARION EVENTS LIMITED","15256","Bedford House, Fulham High Street, London, SW6 3JW","SW6 3JW","00454826","82301","34.3","27.1","55.1","66.6","57.7","57.3","24.7","75.3","41.0","59.0","53.2","46.8","59.2","40.8","","Russell Wilcox (CEO)","250 to 499","CLARION EVENTS LIMITED","False","2023/04/05 00:00:00","2022/05/25 15:11:39"
"CLARITY UMBRELLA LTD","20813","2 Appletree Barns Folly Lane, Copdock, Ipswich, England, IP8 3JQ","IP8 3JQ","12210720","82990","15.25","18.18","","","0","0","65","35","72","28","83","17","86","14","https://clarityumbrella.co.uk/gender-pay-gap-reporting/","Lucy Smith (Managing Director)","250 to 499","CLARITY UMBRELLA LTD","False","2023/04/05 00:00:00","2023/01/23 12:27:39"
"CLEARVIEW CLEANING SERVICES (HEREFORD) LIMITED","15076","Suite A4 Skylon Court, Rotherwas, Hereford, United Kingdom, HR2 6JS","HR2 6JS","04128774","81299","2.6","3","","","0","0","20","80","21","79","16","84","38","62","https://www.clearview-cleaning.co.uk","Jane Nowosielska (Director)","250 to 499","CLEARVIEW CLEANING SERVICES (HEREFORD) LIMITED","False","2023/04/05 00:00:00","2022/05/06 17:11:57"
"CLEARWATER CARE (HACKNEY) LIMITED","20162","Minton Place, Victoria Street, Windsor, England, SL4 1EG","SL4 1EG","05084728","87900","-18.67","-4.81","","","0","0","34","66","22.9","77.1","18.75","81.25","17","83","https://salutemcareandeducation.co.uk/wp-content/uploads/2023/01/Clearwater-Specialist-Care-Group-Limited-Gender-Pay-Gap-Report-2022.pdf","Stephanie Buller (iTrent Systems Manager)","500 to 999","CLEARWATER CARE (HACKNEY) LIMITED","False","2023/04/05 00:00:00","2023/01/17 08:43:37"
"CLEVEDON LEARNING TRUST","17369","Clevedon School, Valley Road, Clevedon, North Somerset, BS21 6AH","BS21 6AH","07872799","85100,
85200,
85310","25.33","44.99","","","0","0","10.99","89.01","7.97","92.03","19.62","80.38","27.6","72.4","","","500 to 999","CLEVEDON LEARNING TRUST","False","2023/03/31 00:00:00","2023/01/19 11:24:26"
"Cleveland Police","3359","Police Headquarters, Ladgate Lane, Middlesbrough, Cleveland, United Kingdom, TS8 9EH","TS8 9EH","","1,
84240","12.58","31.62","","","0","0","44.44","55.56","44.35","55.65","64.17","35.83","76.31","23.69","","","1000 to 4999","Cleveland Police","False","2023/03/31 00:00:00","2023/01/31 18:36:00"
"CLWYDALYN HOUSING LIMITED","3387","Unit 72 Ffordd William Morgan, St Asaph Business Park, St Asaph, Denbighshire, LL17 0JD","LL17 0JD","IP22360R","","17.3","20.1","0","0","21.2","51.9","11.8","88.2","26.3","73.7","39.2","60.8","46.5","53.5","https://www.clwydalyn.co.uk/external-publications/","Elaine Gilbert (Executive Director of OD Communications and Marketing)","500 to 999","CLWYDALYN HOUSING LIMITED","False","2023/04/05 00:00:00","2022/08/23 20:36:42"
"CLYDESDALE BANK PLC","85","30 St Vincent Place, Glasgow, G1 2HL","G1 2HL","SC001111","64191","28.5","36.1","47.8","36.7","89.9","92.5","31.4","68.6","28.5","71.5","48.5","51.5","63.3","36.7","https://www.virginmoneyukplc.com/our-people/diversity-and-inclusion/gender/","Syreeta Brown (Group Cheif People & Communications Officer)","5000 to 19,999","CLYDESDALE BANK PLC","False","2023/04/05 00:00:00","2022/11/21 09:15:08"
"CMD RECRUITMENT LIMITED","18062","The Old Post Office, 41-43 Market Place, Chippenham, Wiltshire, England, SN15 3HR","SN15 3HR","08861395","78109","4.82","-0.44","-80.7","-43.4","58","42","71.2","28.8","73.1","26.9","64.2","35.8","79.1","20.9","","Jenni Reynolds (Accounts Manager)","250 to 499","CMD RECRUITMENT LIMITED","False","2023/04/05 00:00:00","2023/01/05 09:30:57"
"COASTAL LEARNING PARTNERSHIP","249","Heathlands Primary Academy Andrews Close, Springwater Road, Bournemouth, Dorset, England, BH11 8HB","BH11 8HB","09628750","85200","26.87","42.9","","","0","0","4.1","95.9","9","91.0","13.9","86.1","18.8","81.2","","","500 to 999","COASTAL LEARNING PARTNERSHIP","False","2023/03/31 00:00:00","2023/01/25 12:09:37"
"Cobrey Farms","16841","Coleraine Builidngs, Coughton, HR9 5SG","HR9 5SG","","1130","-1.7","0","-87.6","-198.1","13.1","4.6","63","37","63","37","63","37","69.5","30.5","http://www.cobrey.co.uk","Catherine Chinn (HR & H&S Director)","250 to 499","Cobrey Farms","False","2023/04/05 00:00:00","2023/01/30 15:31:19"
"Colchester Borough Council","3437","Rowan House, 33 Sheepen Road, Colchester, Essex, United Kingdom, CO3 3WG","CO3 3WG","","1,
84110","-1.9","-5.5","40.4","0","72.3","65.8","45.2","54.8","51.7","48.3","62.8","37.2","44.6","55.4","https://www.colchester.gov.uk/jobs/things-you-need-to-know/?page=equality--and--diversity--in--employment","","1000 to 4999","Colchester Borough Council","False","2023/03/31 00:00:00","2022/08/26 18:50:48"
"Colchester Sixth Form College","3440","North Hill, Colchester, Essex, United Kingdom, CO1 1SN","CO1 1SN","","1,
85320","6.2","8.1","0.7","8.1","26","34","33","67","38","62","27","73","48","52","https://www.colchsfc.ac.uk/managementreports/?id=3","","250 to 499","Colchester Sixth Form College","False","2023/03/31 00:00:00","2022/10/12 12:10:16"
"COLLIERS INTERNATIONAL PROPERTY CONSULTANTS LIMITED","3453","50 George Street, London, W1U 7GA","W1U 7GA","07996509","68310","37.3","37.0","69.5","59.4","64.8","59.6","44.3","55.7","45.9","54.1","63.5","36.5","88.9","11.1","https://www.colliers.com/en-gb/research/gender-ethnicity-pay-report-2022","Lydia Ings (HR Director)","500 to 999","COLLIERS INTERNATIONAL PROPERTY CONSULTANTS LIMITED","False","2023/04/05 00:00:00","2022/11/04 17:06:44"
"COLLINS EARTHWORKS LIMITED","19130","Collins Earthworks Limited, Whiteley Road, Ripley, Derbyshire, England, DE5 3QL","DE5 3QL","04083989","43110,
43120,
77320","14.8","22.2","63.9","80.1","94.9","57.1","71.3","28.7","95.3","4.7","98.9","1.1","94.2","5.8","","Jill Goodwin (Commercial Director)","250 to 499","COLLINS EARTHWORKS LIMITED","False","2023/04/05 00:00:00","2022/05/05 13:04:27"
"COMMUNITY ACADEMIES TRUST","3474","Dimbleby House, Stoneydelph Primary School Crowden Road, Wilnecote, Tamworth, Staffordshire, England, B77 4LS","B77 4LS","07472736","85200,
85310","18.99","32.89","","","0","0","12","88","15","85","27","73","33","67","https://www.communityacademiestrust.org/","","1000 to 4999","COMMUNITY ACADEMIES TRUST","False","2023/03/31 00:00:00","2022/11/23 11:59:45"
"COMMUNITY FIBRE LIMITED","21547","32 Page Street, London, England, SW1P 4EN","SW1P 4EN","07413288","61100","3.7","2.7","44.7","1.2","47.3","46.8","75.8","24.2","82.2","17.8","81","19","78.3","21.7","","Aimee Haller (People Director)","500 to 999","COMMUNITY FIBRE LIMITED","False","2023/04/05 00:00:00","2022/12/15 10:09:32"
"COMMUNITY GATEWAY ASSOCIATION LIMITED","19933","","","IP29838R","","6.7","7.4","","","0","0","49","51","34","66","72","28","62","38","","Caroline Parr (Senior People Services Manager)","250 to 499","COMMUNITY GATEWAY ASSOCIATION LIMITED","False","2023/04/05 00:00:00","2022/07/06 10:49:34"
"COMPASS CHILDREN'S HOMES LIMITED","21532","3 Rayns Way, Syston, Leicester, England, LE7 1PF","LE7 1PF","04318432","87900","2.7","-1.7","-11.7","-20","40","44","28.4","71.6","35.8","64.2","22.4","77.6","39.6","60.4","","Jamie Wright (CFO)","500 to 999","COMPASS CHILDREN'S HOMES LIMITED","False","2023/04/05 00:00:00","2022/08/22 09:57:39"
"CONGREGATION OF THE LITTLE SISTERS OF THE POOR TRUSTEE COMPANYLIMITED(THE)","14865","St Peters Meadow Road, South Lambeth, London, SW8 1QH","SW8 1QH","00867949","96090","-4.02","-4.83","","","0","0","21.1","78.9","18.4","81.6","11.6","88.4","14.3","85.7","https://www.littlesistersofthepoor.co.uk","Margaret Ashton (Assistant Provincial)","500 to 999","CONGREGATION OF THE LITTLE SISTERS OF THE POOR TRUSTEE COMPANYLIMITED(THE)","False","2023/04/05 00:00:00","2023/01/02 20:09:19"
"CONNECTION FLOORING LIMITED","19778","Henson Close Henson Close, South Church Enterprise Park, Bishop Auckland, England, DL14 6WA","DL14 6WA","07924240","46470","11.8","13.3","50.1","32.1","75","25","68","32","74","26","94","6","85","15","","Stuart Phillips (CFO)","250 to 499","CONNECTION FLOORING LIMITED","False","2023/04/05 00:00:00","2022/05/13 12:29:08"
"CONTRACT CANDLES & DIFFUSERS LTD","21592","Hexham Villa, Egton Terrace, Birtley, Co. Durham, United Kingdom, DH3 1LX","DH3 1LX","05075959","20590","13.9","0.2","","","0","0","31","69","32","68","39","61","49","51","https://www.contractcandlesanddiffusers.com/_files/ugd/c8681a_546c6c01396b409fa176e290a255a71e.pdf","Lewis Hamilton (MD)","250 to 499","CONTRACT CANDLES & DIFFUSERS LTD","False","2023/04/05 00:00:00","2022/12/16 10:38:42"
"CONTRACTOR UMBRELLA LIMITED","53","Unit 36 Silk Mill Industrial Estate, Brook Street, Tring, Hertfordshire, England, HP23 5EF","HP23 5EF","04324081","69201","13.3","15.5","","","0","0","76","24","85","15","89","11","90","10","https://www.contractorumbrella.com/gender-pay-gap-reporting-2/","Zeeshan Anwar (Head of Compliance)","1000 to 4999","CONTRACTOR UMBRELLA LIMITED","False","2023/04/05 00:00:00","2022/10/03 11:58:16"
"COOKSON PRECIOUS METALS LIMITED","20398","59-83 Vittoria Street, Birmingham, B1 3NZ","B1 3NZ","02775187","25990","18","2","62","0","90","91","62","38","64","36","53","47","82","18","","Eleanor Mason (Human Resources Manager)","250 to 499","COOKSON PRECIOUS METALS LIMITED","False","2023/04/05 00:00:00","2022/12/19 14:20:28"
"COOMBE ACADEMY TRUST","12299","C/O Coombe Boys School College Gardens, Blakes Lane, New Malden, Surrey, KT3 6NU","KT3 6NU","07905433","85310","23.82","33.55","","","0","0","16.67","83.33","10.09","89.91","24.07","75.93","37.61","62.39","https://coombe-trust.s3.amazonaws.com/uploads/key_information/Gender-Pay-Gap-Statement-2022.23.pdf?t=1674647941","","250 to 499","COOMBE ACADEMY TRUST","False","2023/03/31 00:00:00","2023/01/25 15:07:59"
"COOPER TIRE & RUBBER COMPANY EUROPE LIMITED","3546","Bath Road, Melksham, Wilts, SN12 8AA","SN12 8AA","00150903","22110,
22190","6.7","-7","18.84","6.43","95.88","96.49","83.2","16.8","91.9","8.1","88.3","11.7","85.6","14.4","","Gavin Champion (HR Director)","250 to 499","COOPER TIRE & RUBBER COMPANY EUROPE LIMITED","False","2023/04/05 00:00:00","2022/12/23 11:12:56"
"CORNWALL CARE SERVICES LIMITED","3580","Sanctuary House Chamber Court, Castle Street, Worcester, England, WR1 3ZQ","WR1 3ZQ","07607721","87900","0.5","0.0","-79.1","0.0","8.1","8.8","16.4","83.6","22.4","77.6","11.4","88.6","15.7","84.3","https://www.cornwallcare.com/application/files/8816/6376/1157/Gender_Pay_Gap_Report_2022.pdf","Kerry Eldridge (Director of People and Culture)","1000 to 4999","CORNWALL CARE SERVICES LIMITED","False","2023/04/05 00:00:00","2022/09/21 13:31:00"
"CORNWALL EDUCATION LEARNING TRUST","9701","Atlantic Centre, Trenance Park, Newquay, Cornwall, England, TR7 2LZ","TR7 2LZ","07565242","85100,
85200,
85310","20.8","41.9","","","0","0","7.5","92.5","24.3","75.7","31","69","33.7","66.3","https://celtrust.org/governance/financials","","1000 to 4999","CORNWALL EDUCATION LEARNING TRUST","False","2023/03/31 00:00:00","2022/05/25 11:26:08"
"CORNWALL HOSPICE CARE LIMITED","3585","Mount Edgcumbe Hospice, Porthpean Road, St Austell, Cornwall, PL26 6AB","PL26 6AB","05660401","86220,
86900","6.51","-5.11","","","0","0","28.6","71.4","11.3","88.7","17.5","82.5","19","81","","Paul Brinsley (Chief Executive)","250 to 499","CORNWALL HOSPICE CARE LIMITED","False","2023/04/05 00:00:00","2023/01/05 10:04:40"
"CORUS HOTELS LIMITED","3600","Corus House Traditional Barn, Rossway Estate, Rossway, Berkhamsted, England, HP4 3TZ","HP4 3TZ","00171238","55100","1.91","4.55","16.89","66.67","9.42","11.11","50","50","48.48","51.52","57.58","42.42","53.03","46.97","https://corushotels.com/careers/","Khurram Mohmand (Finance director)","250 to 499","CORUS HOTELS LIMITED","False","2023/04/05 00:00:00","2022/12/14 13:11:00"
"CORY ENVIRONMENTAL HOLDINGS LIMITED","3601","Level 5, 10 Dominion Street, London, England, EC2M 2EF","EC2M 2EF","05360864","70100","-14.4","11.5","-7","-38","31","53","84","16","88","12","98","2","85","15","","Toby Warren (Director of HR)","250 to 499","CORY ENVIRONMENTAL HOLDINGS LIMITED","False","2023/04/05 00:00:00","2023/01/20 11:54:26"
"COUNTRYSTYLE RECYCLING LIMITED","3636","Ridham Dock Ridham Dock Road, Iwade, Sittingbourne, Kent, England, ME9 8SR","ME9 8SR","05103813","38210","4.1","11.5","0.3","11.2","53.7","60","82.5","17.5","89.4","10.6","97.3","2.7","91.2","8.8","","Samantha Desforges (Group HR Director)","250 to 499","COUNTRYSTYLE RECYCLING LIMITED","False","2023/04/05 00:00:00","2023/01/17 14:27:55"
"County Durham and Darlington Fire and Rescue Service","4326","Belmont Business Park, Durham, United Kingdom, DH1 1TW","DH1 1TW","","1,
84250","5.1","2.79","","","0","0","65.8","34.2","90.1","9.9","88.7","11.3","84.8","15.2","","","500 to 999","County Durham and Darlington Fire and Rescue Service","False","2023/03/31 00:00:00","2023/01/31 08:53:10"
"COVÉA INSURANCE SERVICES LIMITED","540","2 Norman Place, Reading, England, RG1 8DA","RG1 8DA","02966506","66290,
70100","25.9","29.1","43.0","45.5","88","90","32.9","67.1","37.9","62.1","51.3","48.7","68.0","32.0","https://www.coveainsurance.co.uk/careers/gender-diversity/","Adrian Furness (CEO)","1000 to 4999","COVÉA INSURANCE SERVICES LIMITED","False","2023/04/05 00:00:00","2023/01/10 12:21:15"
